use_ID	number of nodes
000001	116575
000002	
000003	
000004	
000008	
000009	
000010	
000011	
000012	
000013	
000014	
000015	
000017	
000018	
000020	
000022	
000023	
000024	
000025	
000026	
000028	
000030	
000031	
000033	
000035	
000039	
000040	
000041	
000042	
000043	
000044	
000046	
000047	
000050	
000051	
000054	
000057	
000058	
000059	
000060	
000064	
000066	
000068	
000069	
000070	
000071	
000073	
000074	
000077	
000079	
000081	
000082	
000083	
000085	
000087	
000089	
000093	
000096	
000097	
000100	
000109	
000110	
000112	
000114	
000123	
000125	
000127	
000129	
000131	
000132	
000136	
000137	
000138	
000139	
000140	
000141	
000144	
000146	
000147	
000148	
000149	
000152	
000153	
000157	
000159	
000161	
000162	
000163	
000164	
000166	
000167	
000168	
000169	
000170	
000177	
000178	
000179	
000181	
000186	
000187	
000188	
000191	
000193	
000196	
000197	
000204	
000208	
000209	
000210	
000212	
000214	
000216	
000217	
000218	
000219	
000224	
000225	
000228	
000237	
000239	
000241	
000242	
000248	
000253	
000270	
000273	
000276	
000277	
000278	
000279	
000281	
000283	
000284	
000285	
000287	
000288	
000293	
000298	
000299	
000301	
000302	
000304	
000305	
000306	
000309	
000313	
000316	
000318	
000322	
000323	
000325	
000330	
000331	
000333	
000336	
000337	
000338	
000342	
000345	
000347	
000348	
000351	
000352	
000355	
000357	
000358	
000359	
000362	
000363	
000371	
000377	
000378	
000379	
000380	
000382	
000383	
000385	
000392	
000396	
000398	
000401	
000402	
000408	
000409	
000410	
000412	
000413	
000416	
000420	
000425	
000431	
000438	
000441	
000446	
000448	
000449	
000461	
000494	
000505	
000509	
000514	
000517	
000518	
000524	
000525	
000526	
000530	
000531	
000533	
000537	
000542	
000545	
000551	
000562	
000563	
000564	
000568	
000569	
000572	
000573	
000576	
000577	
000578	
000580	
000585	
000586	
000587	
000588	
000589	
000591	
000592	
000595	
000598	
000604	
000607	
000608	
000611	
000614	
000615	
000616	
000617	
000618	
000619	
000621	
000623	
000625	
000626	
000627	
000629	
000631	
000632	
000635	
000640	
000641	
000646	
000648	
000650	
000658	
000659	
000660	
000661	
000664	
000669	
000672	
000675	
000676	
000677	
000679	
000680	
000681	
000682	
000683	
000684	
000686	
000687	
000688	
000691	
000695	
000696	
000698	
000700	
000701	
000703	
000704	
000705	
000706	
000710	
000711	
000713	
000714	
000715	
000716	
000717	
000719	
000720	
000721	
000722	
000723	
000725	
000732	
000734	
000746	
000748	
000749	
000750	
000752	
000753	
000755	
000758	
000760	
000764	
000765	
000766	
000769	
000770	
000773	
000780	
000781	
000783	
000785	
000786	
000788	
000789	
000792	
000798	
000802	
000804	
000805	
000806	
000808	
000811	
000812	
000815	
000816	
000818	
000819	
000820	
000821	
000823	
000824	
000825	
000826	
000828	
000829	
000832	
000834	
000840	
000841	
000844	
000845	
000860	
000861	
000863	
000865	
000866	
000869	
000871	
000872	
000878	
000881	
000883	
000884	
000885	
000886	
000889	
000892	
000895	
000898	
000899	
000900	
000903	
000904	
000906	
000907	
000909	
000911	
000913	
000914	
000916	
000919	
000920	
000921	
000922	
000923	
000926	
000927	
000928	
000929	
000930	
000934	
000936	
000937	
000940	
000943	
000950	
000951	
000954	
000957	
000958	
000964	
000966	
000967	
000968	
000977	
000978	
000979	
000980	
000983	
000987	
000990	
000991	
000993	
000997	
001000	
001001	
001003	
001005	
001007	
001015	
001019	
001021	
001023	
001027	
001035	
001036	
001037	
001040	
001043	
001047	
001049	
001050	
001052	
001055	
001056	
001058	
001063	
001064	
001066	
001067	
001068	
001070	
001071	
001074	
001075	
001080	
001086	
001089	
001093	
001096	
001100	
001101	
001109	
001112	
001113	
001115	
001116	
001118	
001120	
001121	
001122	
001123	
001125	
001126	
001128	
001131	
001132	
001141	
001145	
001147	
001151	
001152	
001153	
001156	
001160	
001161	
001166	
001167	
001169	
001176	
001181	
001183	
001185	
001188	
001192	
001193	
001195	
001198	
001201	
001206	
001207	
001209	
001213	
001214	
001215	
001217	
001218	
001219	
001222	
001225	
001230	
001231	
001232	
001233	
001235	
001246	
001248	
001249	
001250	
001251	
001252	
001253	
001254	
001256	
001257	
001261	
001270	
001274	
001278	
001280	
001284	
001291	
001309	
001310	
001315	
001316	
001323	
001325	
001328	
001334	
001336	
001337	
001338	
001339	
001341	
001344	
001347	
001349	
001350	
001353	
001366	
001367	
001371	
001372	
001373	
001374	
001377	
001378	
001380	
001383	
001385	
001386	
001391	
001392	
001395	
001396	
001397	
001399	
001404	
001441	
001446	
001448	
001449	
001450	
001454	
001459	
001471	
001488	
001508	
001509	
001511	
001513	
001517	
001527	
001532	
001533	
001534	
001539	
001545	
001549	
001550	
001555	
001556	
001557	
001558	
001561	
001562	
001566	
001567	
001573	
001578	
001579	
001580	
001582	
001583	
001585	
001586	
001589	
001594	
001595	
001598	
001601	
001603	
001605	
001607	
001609	
001612	
001613	
001614	
001615	
001616	
001619	
001621	
001624	
001625	
001627	
001629	
001632	
001636	
001638	
001643	
001644	
001647	
001649	
001652	
001655	
001657	
001662	
001663	
001665	
001666	
001676	
001678	
001680	
001681	
001683	
001684	
001687	
001690	
001693	
001698	
001703	
001705	
001710	
001713	
001717	
001719	
001722	
001724	
001725	
001726	
001727	
001728	
001729	
001735	
001737	
001740	
001741	
001742	
001750	
001754	
001757	
001760	
001766	
001767	
001772	
001774	
001775	
001776	
001777	
001779	
001780	
001781	
001782	
001785	
001786	
001788	
001790	
001792	
001793	
001795	
001799	
001800	
001802	
001803	
001804	
001805	
001811	
001812	
001815	
001816	
001820	
001821	
001827	
001832	
001833	
001836	
001840	
001841	
001843	
001845	
001847	
001851	
001854	
001863	
001868	
001869	
001870	
001871	
001872	
001879	
001880	
001881	
001883	
001884	
001887	
001890	
001891	
001892	
001893	
001897	
001904	
001908	
001911	
001916	
001918	
001919	
001921	
001923	
001927	
001929	
001933	
001937	
001946	
001954	
001956	
001960	
001966	
001968	
001970	
001971	
001972	
001977	
001979	
001984	
001987	
001989	
001991	
001992	
001993	
001994	
001996	
001998	
002000	
002002	
002008	
002016	
002017	
002021	
002027	
002040	
002046	
002047	
002048	
002050	
002051	
002053	
002057	
002058	
002060	
002063	
002064	
002066	
002068	
002072	
002076	
002078	
002081	
002084	
002086	
002087	
002088	
002094	
002095	
002099	
002104	
002110	
002111	
002112	
002117	
002118	
002121	
002122	
002123	
002125	
002128	
002129	
002138	
002152	
002157	
002161	
002166	
002171	
002177	
002179	
002185	
002187	
002190	
002192	
002197	
002199	
002203	
002209	
002215	
002216	
002217	
002220	
002221	
002222	
002227	
002231	
002236	
002237	
002245	
002250	
002264	
002266	
002274	
002275	
002280	
002283	
002286	
002287	
002296	
002302	
002303	
002308	
002315	
002316	
002317	
002321	
002323	
002328	
002332	
002346	
002349	
002351	
002354	
002356	
002360	
002361	
002362	
002364	
002378	
002383	
002391	
002393	
002400	
002418	
002422	
002423	
002430	
002434	
002472	
002475	
002477	
002478	
002480	
002485	
002488	
002489	
002492	
002497	
002498	
002499	
002500	
002503	
002505	
002507	
002508	
002514	
002515	
002518	
002519	
002520	
002522	
002523	
002528	
002529	
002535	
002538	
002542	
002545	
002553	
002566	
002567	
002569	
002572	
002573	
002575	
002579	
002590	
